business_id,name,city,state,stars,review_count,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsPriceRange2
Rtaca3VZIioxy6N006NKaQ,Sonic Drive-In,Mesa,AZ,1.5,50,1.0,1.0,1.0
UITPqkoDytnHT4kxaAyDeA,Hibachi Express,Charlotte,NC,3.0,23,1.0,1.0,1.0
ZsKWULhwwB61RHzCrb1i9A,Blue Burrito Grille,Las Vegas,NV,2.5,31,1.0,1.0,1.0
UhgNf97gZW2gbMtVodBh9g,Mister Chang's Coffee House,Fort Mill,SC,3.5,5,,,
a_E-rLe2zcyX-X4FKhWWRg,Tacos y Mariscos Sinaloa,Phoenix,AZ,3.0,14,1.0,1.0,2.0
_Kp1IPTi17wBywYOd30raA,Pizza Hut,Coraopolis,PA,2.0,14,1.0,1.0,1.0
NFm869_w6cvVaWaNpAzjeA,Soul Gastrolounge,Charlotte,NC,4.0,1077,1.0,1.0,2.0
lpQziF9QCVZQRkxac1xzcw,Bonus Round,Phoenix,AZ,4.0,123,1.0,1.0,2.0
JQWIZ8MT-VGZzO5W5XCB5Q,88 China Bistro,Charlotte,NC,3.5,98,1.0,1.0,2.0
4GNI7HWuzQkkPmPsgHxOtw,Flancer's,Mesa,AZ,4.0,203,1.0,1.0,2.0
owV0aSgh4t_9aG56iPxGEw,Panda Express,Parma,OH,2.5,57,1.0,1.0,1.0
J7fekWie4ZwR03AZVBisFw,Cafe South,Charlotte,NC,4.0,228,1.0,1.0,2.0
c1JoHp602zilpDU_57DsMg,Starbucks,Las Vegas,NV,2.0,57,1.0,1.0,2.0
Hgy5MrIKrwRJDXnwKaCpbA,Garcia's,Phoenix,AZ,3.0,139,1.0,1.0,2.0
R32Yh0XxxanldkIp11fuRg,BoBo's BBQ,Champaign,IL,3.5,45,1.0,1.0,1.0
Iq1P8S3--gqd50xoQJxpqA,Blended,Madison,WI,4.5,65,1.0,1.0,2.0
5gl2GLgimBz1-Q-uXji_Rw,Milano's Pizza & Pasta,Charlotte,NC,3.5,91,1.0,1.0,2.0
crBw_Hq3gCkppirgjnIl4A,Famous Yeti's Pizza,Stoughton,WI,4.5,60,1.0,1.0,2.0
xPuId11JJs0uy-QuPfifOw,Grill 55,Las Vegas,NV,3.0,58,1.0,1.0,2.0
Ra5fI9BEAuWWaLJSfkiCiQ,White Oaks,Westlake,OH,3.5,143,1.0,1.0,3.0
bV_xC1dzOhN_y4YEd4h02g,MountainSide,Henderson,NV,3.0,76,1.0,1.0,2.0
vsGoYMRvBYss3x9fn-jDzQ,Hef's Bar & Grill,Charlotte,NC,3.0,115,1.0,1.0,1.0
qC9ivAdl47BcZdlbW7ffLg,18 Asian and Sushi Bar,Charlotte,NC,3.0,140,1.0,1.0,2.0
y-0Twdg0sIhrh7BFJii8LA,Duquesne Club,Pittsburgh,PA,5.0,3,,,
JOtv0NcBkvd9RO_D9cM3Qg,Legacy Cafe And Lounge,Westlake,OH,4.5,7,1.0,1.0,2.0
YOD9dXrnpu8HTRILpF0onw,Times Square Neighborhood Italian Restaurant,Phoenix,AZ,4.0,297,1.0,1.0,2.0
-QC71Wuh0TyJI0RAZ3d0Iw,Chipotle Mexican Grill,Gastonia,NC,2.5,29,1.0,1.0,1.0
ErxACeMyF4hSQyGhpEt4Tw,Peppermint Thai Cuisine,Pepper Pike,OH,4.0,217,1.0,1.0,2.0
WUmosjOxt_8nWByHgm8Kkg,Chipotle Mexican Grill,Chandler,AZ,3.5,99,1.0,1.0,1.0
cPNolx5Ae2znDZNA7GG5BQ,Little Caesars Pizza,Streetsboro,OH,3.5,5,1.0,,1.0
XSY26vVt9qvLh3SAECPzkg,The Melting Pot,Huntersville,NC,4.5,107,0.0,1.0,3.0
CdpBVSkL2Pljj-yP0ihb_w,Thai Orchid Garden Restaurant,Avondale,AZ,4.0,220,1.0,1.0,2.0
q3YnYPjLuBGRDi_59yTC5g,Sidestreet Pho and Grill,Las Vegas,NV,4.0,707,1.0,1.0,1.0
sAEFh7e7fY-W2gMWSbIAWQ,MAD Greens - Scottsdale,Scottsdale,AZ,4.0,195,1.0,1.0,2.0
7LzhLKAwS7PHUvaPIW833A,Dominic's Santos,Cleveland,OH,3.5,40,1.0,1.0,2.0
FoZQW4WpXAEOOVZ9MepnZA,Switchin' Kitchens,Charlotte,NC,4.5,11,1.0,1.0,
_8I19IRzDXmMSRES9cEGlw,Little Caesars Pizza,Phoenix,AZ,1.5,27,1.0,1.0,1.0
-iPc_YSSqvM1CpZxxeUTXw,Jason's Deli,Chandler,AZ,3.5,142,1.0,1.0,1.0
ijNQXC2cBhbkf6iB6D8OJw,Genoa Pizza & Bar,Pittsburgh,PA,3.0,68,1.0,1.0,2.0
xOcJHzV3X0lKHN9LcBpvqw,Catabella's Deli &Cafè,Phoenix,AZ,5.0,3,,,
oaqbLDW3wNqkynlnp4mvlw,Lupo by Wolfgang Puck,Las Vegas,NV,3.5,653,0.0,1.0,3.0
wNgzPOtnHE1prmh3bzWR1g,Golden Coast II,Charlotte,NC,3.0,32,1.0,1.0,1.0
QHmEacOnCyn7VaK1S5V4lQ,Cafe At 6100,Charlotte,NC,4.0,9,1.0,1.0,1.0
f1L-fI_wM5aH7_YG7WcUaA,Campus Commons Food Court,Las Vegas,NV,4.0,9,1.0,1.0,1.0
ITc7sL3YYxHoQYoPNNH_GA,Piccolo Pizza N Ice,Scottsdale,AZ,4.5,44,1.0,1.0,1.0
nvh-zGYHKwIUiPTgwhIScA,Taco Bell,Las Vegas,NV,3.0,35,1.0,1.0,1.0
Wsb_rH2xNmMOdmzyb7eB7w,Crazy Jim's,Phoenix,AZ,3.5,97,1.0,1.0,2.0
wERcL1KznuTgfltSKQt_jg,Zipps Sports Grill,Phoenix,AZ,2.5,287,1.0,1.0,2.0
G79PyDm3hVivIX69Q2mXIQ,Michael's Genuine Food & Drink,Shaker Heights,OH,3.5,59,1.0,1.0,
3nzK3K-Dfo1L6mpB8FTKkw,Pei Wei Asian Diner,Phoenix,AZ,2.5,128,1.0,1.0,2.0
MM572Htt9k_e96IKNyCEtA,stonegrill,Phoenix,AZ,3.5,89,1.0,1.0,2.0
G1lB2bUf1MT1FZT8TBy62g,Rubalcabas Taco Shop,Las Vegas,NV,4.0,60,1.0,1.0,1.0
v3kXkK9ga8jfgetr0Hb5Eg,McDonald's,Willowick,OH,2.0,8,1.0,1.0,1.0
7HbKKqXtZUjf6uVSHZ8wyw,Let's Meat Kbbq,Charlotte,NC,4.5,354,0.0,1.0,2.0
Vd9XJZ6A9PXS8S8hDPByHQ,Peter Piper Pizza,Mesa,AZ,3.0,29,1.0,1.0,1.0
T0NKethAB-FFR05EeZCzuA,Burger King,Las Vegas,NV,1.5,127,1.0,1.0,1.0
DloBjCZHlz0lzsrQJq5PHQ,The Lit Grille,Las Vegas,NV,4.0,12,1.0,1.0,
g2Y2lnMmnOouvivEie9myw,Church's Chicken,Mesa,AZ,2.0,42,1.0,1.0,1.0
Vu8Z-zbNT_InsKm4IrdeCg,Smashburger,Charlotte,NC,3.5,121,1.0,1.0,2.0
sphMzEIqY1I2Dzv3zLZY2g,Global Restaurant,Pineville,NC,4.0,168,1.0,1.0,3.0
6pGzbQQwGdqKbXGdaTNy5A,Carl's Jr of Las Vegas,North Las Vegas,NV,2.5,28,1.0,1.0,1.0
DEtOIjhV0MWZ8fD8-YZCww,Whole Grain Natural Bread,Mesa,AZ,4.0,39,1.0,1.0,2.0
00J65e-ewht6GZ9fXZdP1w,Pizza Hut,Elyria,OH,2.0,10,1.0,1.0,1.0
crOZthKtsABnH_nvy0w6YA,Irie Vibes Caribbean Restaurant & Catering,Charlotte,NC,4.0,31,1.0,1.0,2.0
EMmCHg3Fgk9jZrHVB8OJXw,Davis Bakery & Delicatessen,Woodmere,OH,4.0,59,1.0,1.0,1.0
eOZiSu4_EuGf3Tha_lmUwQ,Riverstone Taverne,Brunswick,OH,3.5,36,1.0,1.0,2.0
aSn4fgpq-3FDfvVG2bjv3A,KFC,Las Vegas,NV,2.0,44,1.0,1.0,1.0
S9RoY_Smsh0a2JPo90bkdg,US Egg Restaurant,Scottsdale,AZ,4.0,164,1.0,1.0,2.0
tVyLQzyhhinKcGzlZIFZjQ,Oregano's Pizza Bistro,Chandler,AZ,4.0,369,1.0,1.0,2.0
iiOpaR1Am7svS0SF_eBoOQ,Mama's Pizza & Pasta,Matthews,NC,4.0,69,1.0,1.0,2.0
Vrx9GRXkG3u95E07QBwj-Q,Wing Eaters,Concord,NC,4.0,22,1.0,1.0,
JGbQOdAAqxEKlyJy07omuw,Civic Market,Chandler,AZ,4.5,39,1.0,1.0,2.0
kUPlKgW6OLRw8_rrYtBV3A,"Seaboard Brewing, Tap Room & Wine Bar",Matthews,NC,4.5,90,0.0,1.0,2.0
FHCNPBORRJ6gvNf3xBtnBA,Firehouse Subs,Charlotte,NC,3.0,25,1.0,1.0,1.0
du9_QFb75sxzKnLLQwSkMw,Five Guys,Phoenix,AZ,3.5,182,1.0,1.0,2.0
Dz5cc8BKyHc_8pUTxbCXkA,KFC,Mentor On The Lake,OH,2.5,6,1.0,1.0,1.0
FAhFnSJn9owENi61iI8jwQ,Leo. a public house,Pittsburgh,PA,4.5,16,,1.0,
SUaEbsKFSo33idJzQ9Dfjw,Lake Norman Cottage,Davidson,NC,4.0,30,0.0,1.0,2.0
Yq0LCrGLjJtKcwBu1Nta6w,Sidelines Beer House,Sewickley,PA,3.0,70,1.0,1.0,2.0
IBNWrN1k9E0E_bMcRD-GwA,Chef Ching's Kitchen,Las Vegas,NV,4.5,85,1.0,1.0,1.0
pUUb-AOxcwHJutHnsHwPsg,Juice Core,Scottsdale,AZ,4.5,79,1.0,1.0,2.0
NtfAbj7MSj5IOhAsGM0-5w,Einstein Bros Bagels,Scottsdale,AZ,2.5,95,1.0,1.0,1.0
p8HvhJZ-_EHhmUVmZN15gg,Café Zupas,Henderson,NV,3.5,449,1.0,1.0,1.0
isao1F5FW5kvQl402UlJ3g,Little Caesars,Elyria,OH,3.0,4,1.0,,1.0
xzR3J-4vpt6K4ZHr8nQLCA,Archie's,Pittsburgh,PA,3.5,57,1.0,1.0,1.0
c7JoAt6a3Ufkpn3TrGU23A,Santanas Mexican Food,Phoenix,AZ,3.0,6,1.0,1.0,1.0
TspQ9jCczz436RiJHJQYZw,Fresh Kabob,Las Vegas,NV,3.5,288,1.0,1.0,2.0
G5YM5jbCTAFE2IDGNRjYnQ,La Herradero 2,Las Vegas,NV,4.5,11,1.0,1.0,
x1Cd2gSPZVeNxDPzzqlClQ,Casey's General Store,De Forest,WI,4.0,10,1.0,1.0,1.0
Cy46zHlSVkCGZRpaHwlkVA,Alibaba Hookah Lounge,Tempe,AZ,3.5,26,0.0,1.0,1.0
JSz1qbGm3FHgh-DJqqS_dA,Insomnia Munchies,Las Vegas,NV,2.5,10,1.0,,2.0
AVsZE_gMkuBmRLRiqmPqJQ,City Cafe,Phoenix,AZ,3.5,3,1.0,1.0,
I6Xa5eF9Jv9VM6ms_dkY8A,Ilios Noche,Charlotte,NC,4.0,272,1.0,1.0,2.0
b1m_PK-ggGR3CmBjdIyqkQ,Wrights at The Arizona Biltmore,Phoenix,AZ,4.0,139,0.0,1.0,3.0
67ebdi7bAH6YDfnNHL8xYw,JJ's Grubb Shack N Liquor,Laveen Village,AZ,3.5,11,1.0,0.0,1.0
TSReAmFxNVCZggcx49Gf3A,Rally's,Tempe,AZ,2.5,91,1.0,1.0,1.0
KJ6DuC0Jve9hAtzM2SGNOQ,Viva El Taco,Las Vegas,NV,3.5,37,1.0,1.0,1.0
COnqdubhr87gCDJjPGwT6A,Freska Mediterranean Grill,Middleton,WI,4.0,106,1.0,1.0,1.0
PrFfdw7WuGAnrkyAIzX65g,Subway Restaurants,Las Vegas,NV,3.0,52,1.0,1.0,1.0
eWVgtAQ3Z-bFRBat8nICLg,The Patio At Las Sendas Golf Club,Mesa,AZ,3.5,61,0.0,1.0,2.0
niqIaJy9UXu-DS7BIUvUoA,Pizza Divino,Phoenix,AZ,3.5,115,1.0,1.0,1.0
MNaPOkqm2vKeNG8EqkZWCg,Chicago Joe's,Las Vegas,NV,3.5,478,1.0,1.0,2.0
bwmO8teAlvjmuIDxhPb44g,El Zarape Mexican Restaurant,Las Vegas,NV,4.5,28,1.0,1.0,
4Vig7oCo9P-j2OnPUfaXCA,Papa John's Pizza,Urbana,IL,2.0,5,1.0,1.0,1.0
j8j0IV_eemJpFuRRvdNobQ,Cheuvront Restaurant,Central City Village,AZ,3.5,14,1.0,1.0,2.0
scM6rLQqoz5dEIgwz_JFsg,Haveli Restaurant,Fitchburg,WI,4.5,139,1.0,1.0,2.0
wkzWdo1mBqbzR2KPoXtWZw,Vito's Pizza,Glendale,AZ,4.0,142,1.0,1.0,2.0
oGYXSVs0ympLy0ur8Qnp7g,Taqueria El Buen Pastor,Las Vegas,NV,2.5,127,1.0,1.0,1.0
ERM603jbIbNqX2c7Ww1Qiw,Cafe Rio,Phoenix,AZ,3.0,89,1.0,1.0,1.0
sytLExNDyQuELMDguVUqhA,Pizza Hut,Rocky River,OH,2.0,3,1.0,1.0,1.0
mSWNf1muSy9wgGtMRgt7Fg,Zeppe's Tavern & Pizzeria,Bedford Heights,OH,3.5,25,1.0,1.0,2.0
usdef3dIb6VXGV8peev2_w,Five Guys,North Olmsted,OH,3.5,14,1.0,1.0,1.0
WElec_bplWbp2aRcY-VJZA,Wok with Ming,Gilbert,AZ,4.5,104,1.0,1.0,
VCncaRjqC6ZqUG7jAnODJQ,Alice's Restaurant,Canonsburg,PA,4.5,81,1.0,1.0,1.0
UT6L3b7Zll_nvRidijiDSA,Five50 Pizza Bar,Las Vegas,NV,4.0,773,1.0,1.0,2.0
sS2IKdaUne_8QwiAl6iyfg,Malaya Kitchen,Charlotte,NC,4.0,148,1.0,1.0,2.0
wGzLjz2RrI1NHGQsdYy2Bg,Mr Hero,Northfield,OH,2.5,3,1.0,1.0,1.0
srHBs-NlG0upDlambkURbA,Jersey Mike's Subs,Mint Hill,NC,4.0,14,1.0,1.0,1.0
F7mv0e3N2DgYY93cl8LpZw,Wendy's,Las Vegas,NV,1.5,25,1.0,1.0,1.0
lWcUnuQ5Tck4TmVTP2gpIg,Mariana's Tortilleria,Las Vegas,NV,1.0,5,1.0,1.0,1.0
wnxxb-Qpy5sYWCKIKto5Tg,Market Place Buffet,Las Vegas,NV,3.5,32,0.0,,2.0
6nnI3DfHn-DTd6tWnZu7Jg,Taco Bell,Charlotte,NC,2.0,13,1.0,1.0,1.0
2SedpQ674XBqyw3Wq4kyxQ,McDonald's,Mesa,AZ,1.5,29,1.0,1.0,1.0
gTn_YaXUYEC5py8ESrX5Wg,Maki Taco,Charlotte,NC,3.0,40,1.0,1.0,1.0
aYyj9OdH059CoEXadmldXA,Bonsai Japanese Steak & Sushi,Las Vegas,NV,4.0,356,1.0,1.0,2.0
-wDNRL4lm1UgeFLG9KcrjQ,Yummy Grill & Sushi,Las Vegas,NV,3.5,208,1.0,1.0,2.0
gyCHpPhwXJksHOJ8yaQfkg,Down Home Cookhouse,Brooklyn,WI,5.0,9,,,
rgg8WrhcqxXecU58BPCoqQ,Wendy's,Fort Mill,SC,1.5,41,1.0,1.0,1.0
_3-gItHIdBvQ9XrDrIQLXg,Ribkens Cpr,Monroeville,PA,2.5,3,,,
9en49YH_NJmTOUqN2GO8LA,Taco Bell,Lakewood,OH,2.0,24,1.0,1.0,1.0
7YLvFqyFkIZkj5l6tnbqrw,Anchor & Anvil Coffee Bar,Ben Avon,PA,4.5,61,1.0,1.0,1.0
vK8Q6qHL9t9RpifSI69pCw,Bambini's Pizzeria & Italian Restaurant,Las Vegas,NV,5.0,29,1.0,1.0,2.0
8F9C5vhDlYphBWELUgLkvQ,Famous Ray's Pizza,Phoenix,AZ,3.0,94,1.0,1.0,1.0
n0gAJPW7-H9cS71FC5dSqg,Taco Bell,Mentor,OH,3.0,11,1.0,1.0,1.0
vAf3U749Y1hnFfnMpKHuyw,OUTLAWS Bar & Restaurant,Phoenix,AZ,2.5,22,,1.0,
Dwau0pTROj2QsR_hz7JVoQ,New China,Belmont,NC,3.5,26,1.0,1.0,1.0
iYT30UPGmLdmTRaAKz0Vvw,Be's Noodles & Banh Mi,Charlotte,NC,4.5,254,1.0,1.0,2.0
dF11zSNDXbq6DBchUvqgZQ,Chipotle Mexican Grill,Scottsdale,AZ,3.5,69,1.0,1.0,1.0
Mf7HGXmUPDGPCEYApkfIqQ,Rumbi Island Grill,Mesa,AZ,3.0,33,1.0,,
vT5mKKEcAxhSPj452HHspw,Frutilandia,Mesa,AZ,4.0,134,1.0,1.0,1.0
08JPvTyVYt6I4PbGkQ76jQ,Firehouse Subs,Mayfield Heights,OH,4.0,28,1.0,1.0,1.0
Rmiv34SGRqJDm_5Db29IrQ,El Pollo Mobile,Las  Vegas,NV,4.5,56,1.0,1.0,1.0
RIHydChuDTrfuuvr8TzH4g,Castle Coffee,Las Vegas,NV,2.0,6,,,
cPZ5ugSrVrqnqD5ZsJhnpA,Pgh Crepes,Pittsburgh,PA,3.5,26,1.0,1.0,1.0
XOwM9qo0A1ion_jI8CQ9Ng,Oaka Sushi House,Las Vegas,NV,4.5,100,1.0,1.0,
cxwQIfMljUhk1yMG8PQLXg,Charlie's Market Buffet,Las Vegas,NV,2.5,27,0.0,1.0,2.0
3gnQUW3pzKE32RenMfuf9A,First Watch,Bridgeville,PA,4.5,168,1.0,1.0,2.0
4WGhJKDcOccXhftoAwagJw,Popeyes Louisiana Kitchen,Macedonia,OH,2.0,47,1.0,1.0,1.0
fFxxsUakG4WpPa5OY6xU6w,Black Chicken Wine Cellar,Matthews,NC,5.0,36,1.0,1.0,2.0
9tLvZheBcPTYTc5tmxcA7w,Pat Dees Pub & Eatery,Northfield,OH,4.0,29,1.0,1.0,1.0
bVE26iEtkEsAWZHMVyAPeQ,Five Guys,Fairview Park,OH,3.0,27,1.0,1.0,1.0
pBoWsom3mZFYo9EucIWRDg,Kabuki Sushi & Grill,Peoria,AZ,4.0,196,1.0,1.0,2.0
Mj5dXTDd6AndK8b4UVTNbw,Starbucks,Beachwood,OH,3.5,16,1.0,1.0,1.0
iA9xu-6oOFynZQxO5qrauQ,DOC Holliday's Saloon,Henderson,NV,3.0,3,,,
93E1eOQ2bQG0OyIMqdcTvg,Whataburger,Scottsdale,AZ,3.0,85,1.0,1.0,1.0
-mcuv5UOSmbzi-aQNsUI9A,Jimmy's Backyard BBQ,Cuyahoga Falls,OH,3.5,49,1.0,1.0,2.0
jk-eI5_D63zK-WGeWqsOHg,Jalapenos,Phoenix,AZ,5.0,7,1.0,1.0,
0v7DIprUj2KASqg5PwqhUg,Burrell Inn,New Kensington,PA,3.5,9,1.0,1.0,2.0
X2f2s37_cFKo4xpzGFqk1w,Hokkaido Seafood Buffet,Pittsburgh,PA,3.0,243,1.0,1.0,2.0
6eWtqUKQ73s3xwbT-aYzig,Max & Erma's,Middleburg Heights,OH,3.0,64,1.0,1.0,2.0
PJ64Zdo0h2mQMmX7cpNJBA,Letty's,Charlotte,NC,4.5,89,1.0,1.0,2.0
4s_cPDS_AkLP1fXMJPqB2w,GOGI,Chandler,AZ,4.0,403,1.0,1.0,2.0
dWapY1yn-vG_ECu67AIEKg,Bebo's Mac Shack,Charlotte,NC,2.5,7,,1.0,1.0
gwd1W_0Mgzqo3QxgXrt16Q,RuRu's Tacos + Tequila,Charlotte,NC,3.5,427,1.0,1.0,2.0
2PBPh8LTwt_mXP0GUYa9NQ,Veltre's Pizza,Oakmont,PA,4.0,23,1.0,1.0,2.0
w_w2b_GRcy_R-bGWXZwKdQ,Brisam's,Cave Creek,AZ,4.0,175,1.0,1.0,2.0
GW2_gqOhKQ7sI4oem6yP9w,Brioni To Go,Scottsdale,AZ,3.5,18,1.0,1.0,2.0
tuB82m4oIlKLyWeQjEF16g,Tasty N Healthy,Pittsburgh,PA,4.5,37,1.0,1.0,1.0
IghwtXL8ZgK2dEL62Pzhrw,Tacos Huicho,Phoenix,AZ,4.5,227,1.0,1.0,1.0
x1fx7C_tc064cFATjl4fmQ,The Lodge at Grand Teton,Las Vegas,NV,3.0,116,1.0,1.0,2.0
u2q_84hHvKGl5hKnAE7zNw,Sushi Ave,Gilbert,AZ,4.0,250,1.0,1.0,2.0
-TVXOYL6kvKP1uW6ND9PIg,Whataburger,Phoenix,AZ,2.5,45,1.0,1.0,1.0
c_1reK52b5zSfp4KDB9L_Q,Little Country Kitchen,Monroe,NC,4.5,25,1.0,1.0,1.0
Jr1_Pt8TQihTISYc5RbKtw,Saenz Cleaning,Phoenix,AZ,5.0,29,,1.0,
SXyGMj1rBHauU_MMLEsUfw,Little Caesars Pizza,Las Vegas,NV,2.0,31,1.0,1.0,1.0
sSEeW-U4N5TxalS58zuGrA,Jacks Place,Boulder City,NV,4.0,110,1.0,1.0,2.0
j7EgXr8nAt19Q6iDwOHvyg,Arby's,Charlotte,NC,3.5,7,,,1.0
4-QlcyLqRc8To15oOHUjkg,The Breakaway Bar and Grill,New Kensington,PA,4.0,33,1.0,1.0,1.0
1QJFpZxLbHbXSKohWp9uIA,Red White & Brew,Mesa,AZ,4.0,531,1.0,1.0,2.0
NAigH4SqnuuQip8lekq7GQ,Port of Subs,Phoenix,AZ,3.5,55,1.0,1.0,1.0
heka2ccBTq9dlMJR3xI38A,Ooowee Bbq,Pineville,NC,4.0,20,1.0,,
FUCHvOmoHC3YalwRwB97Yg,Kuhar's Carryout,Mentor,OH,4.5,14,1.0,1.0,1.0
Zd1Z8Q8uKdmQyjPEzSjS7Q,Litchfield's,Litchfield Park,AZ,4.0,161,0.0,1.0,3.0
XJ2dT7pwmutxM4ceQnTVUg,Mama Gina's Pizzeria,Glendale,AZ,3.0,337,1.0,1.0,2.0
qxVcSWGKyH3HkkHV8NinDA,Salty Senorita,Scottsdale,AZ,3.0,779,1.0,1.0,2.0
uqQiIHebnBXCLCWZQkjtiA,Dairy Queen Orange Julius,Henderson,NV,3.0,19,1.0,1.0,1.0
Arx42aGpdfI6XRH9lnKdaQ,GlutenZero,Las Vegas,NV,4.0,116,1.0,1.0,1.0
wvlF1x7Cm8UGu6iD0LgIJw,Salsarita's Fresh Mexican Grill,Charlotte,NC,2.5,33,1.0,1.0,1.0
uasU60jZfngLgfTppy8IPQ,McDonald's,Indian Trail,NC,1.0,21,,,1.0
Q8RfppYHQKo1O54N9Gz21A,New Wave Market,Scottsdale,AZ,4.5,38,1.0,1.0,2.0
922y7PvrE88aqhaErJek6A,Scratch kitchen CLT,Charlotte,NC,4.0,13,0.0,1.0,
zyJWc8oW8JpPg2xXMQsnAA,McDonald's,Henderson,NV,2.0,30,1.0,1.0,1.0
iDHWqYdaTd5cHjppBdg5Rw,Classic Chinese Cuisine,Bridgeville,PA,3.5,24,1.0,1.0,1.0
8OeHn9KCbICuRBs_XiDDUA,Buffalo Chip Saloon & Steakhouse,Cave Creek,AZ,3.5,433,1.0,1.0,2.0
